,Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,user,Probe
0,1,2151027,2156027,8.962,8.851,5.236,6.932,4.997,4.85,6,0
1,1,2156027,2161027,8.851,9.041,6.932,6.932,4.85,4.85,6,0
2,1,2161027,2166027,9.041,8.895,6.932,6.942,4.85,4.982,6,0
3,1,2166027,2171026,8.895,8.891,6.942,6.942,4.982,4.983,6,0
4,1,2171026,2176026,8.891,8.769,6.942,6.946,4.983,5.001,6,0
5,1,2176026,2181026,8.769,8.662,6.946,6.946,5.001,5.194,6,1
6,1,2181026,2186025,8.662,8.682,6.946,6.92,5.194,5.326,6,0
7,1,2186025,2191025,8.682,8.52,6.92,6.919,5.326,5.301,6,0
8,1,2191025,2196025,8.52,8.583,6.919,6.919,5.301,5.301,6,0
9,1,2196025,2201025,8.583,8.583,6.919,6.897,5.301,5.301,6,0
10,1,2201025,2206024,8.583,8.654,6.897,6.843,5.301,5.345,6,0
11,1,2206024,2211024,8.654,8.544,6.843,6.843,5.345,5.345,6,1
12,1,2211024,2216024,8.544,8.536,6.843,6.843,5.345,5.345,6,0
13,1,2216024,2221023,8.536,8.457,6.843,6.843,5.345,5.345,6,0
14,1,2221023,2226023,8.457,8.437,6.843,6.84,5.345,5.467,6,0
15,1,2226023,2231023,8.437,8.548,6.84,6.84,5.467,5.467,6,0
16,1,2231023,2236023,8.548,8.532,6.84,6.84,5.467,5.467,6,0
17,1,2236023,2241022,8.532,8.449,6.84,6.84,5.467,5.467,6,0
18,1,2241022,2246022,8.449,8.378,6.84,6.84,5.467,5.434,6,0
19,1,2246022,2251022,8.378,8.402,6.84,6.911,5.434,5.262,6,0
20,1,2251022,2256021,8.402,8.654,6.911,6.867,5.262,5.68,6,0
21,1,2256021,2261021,8.654,8.631,6.867,6.845,5.68,5.679,6,0
22,1,2261021,2266021,8.631,8.477,6.845,6.845,5.679,5.639,6,0
23,1,2266021,2271021,8.477,8.394,6.845,6.845,5.639,5.629,6,0
24,1,2271021,2276020,8.394,8.37,6.845,6.845,5.629,5.604,6,0
25,1,2276020,2281020,8.37,8.299,6.845,6.845,5.604,5.598,6,1
26,1,2281020,2286021,8.299,8.272,6.845,6.831,5.598,5.767,6,0
27,1,2286021,2291020,8.272,8.323,6.831,6.642,5.767,5.785,6,0
28,1,2291020,2296021,8.323,8.189,6.642,6.055,5.785,5.756,6,0
29,1,2296021,2301021,8.189,8.13,6.055,6.055,5.756,5.756,6,0
30,1,2301021,2306022,8.13,8.185,6.055,6.145,5.756,5.935,6,0
31,1,2306022,2311021,8.185,8.126,6.145,6.189,5.935,5.887,6,0
32,1,2311021,2316022,8.126,8.059,6.189,6.238,5.887,5.852,6,1
33,1,2316022,2321022,8.059,8.079,6.238,6.293,5.852,5.872,6,0
34,1,2321022,2326022,8.079,7.925,6.293,6.535,5.872,5.885,6,0
35,1,2326022,2331022,7.925,7.933,6.535,6.535,5.885,5.845,6,0
36,1,1834013,1839014,3.584,3.537,5.599,6.235,5.545,5.8,30,0
37,1,1839014,1844013,3.537,3.584,6.235,6.242,5.8,5.774,30,0
38,1,1844013,1849014,3.584,3.533,6.242,6.242,5.774,5.769,30,0
39,1,1849014,1854014,3.533,3.533,6.242,6.242,5.769,5.741,30,0
40,1,1854014,1859015,3.533,3.553,6.242,6.048,5.741,5.547,30,0
41,1,1859015,1864014,3.553,3.549,6.048,7.042,5.547,5.746,30,0
42,1,1864014,1869015,3.549,3.529,7.042,7.027,5.746,5.717,30,0
43,1,1869015,1874015,3.529,3.529,7.027,6.982,5.717,5.561,30,0
44,1,1874015,1879015,3.529,3.537,6.982,6.982,5.561,5.561,30,0
45,1,1879015,1884015,3.537,3.517,6.982,6.871,5.561,5.579,30,0
46,1,1884015,1889016,3.517,3.537,6.871,6.35,5.579,5.321,30,0
47,1,1889016,1894016,3.537,3.497,6.35,6.292,5.321,5.062,30,1
48,1,1894016,1899016,3.497,3.509,6.292,6.479,5.062,5.094,30,0
49,1,1899016,1904016,3.509,3.517,6.479,7.404,5.094,7.089,30,0
50,1,1904016,1909017,3.517,3.474,7.404,7.069,7.089,7.286,30,0
51,1,1909017,1914016,3.474,3.391,7.069,7.197,7.286,7.353,30,0
52,1,1914016,1919017,3.391,3.474,7.197,7.221,7.353,7.352,30,0
53,1,1919017,1924017,3.474,3.466,7.221,7.471,7.352,7.361,30,0
54,1,1924017,1929018,3.466,3.375,7.471,7.364,7.361,7.158,30,0
55,1,1929018,1934017,3.375,3.442,7.364,7.082,7.158,7.035,30,0
56,1,1934017,1939018,3.442,3.45,7.082,6.625,7.035,6.969,30,0
57,1,1939018,1944018,3.45,3.391,6.625,6.929,6.969,7.008,30,0
58,1,1944018,1949018,3.391,3.434,6.929,6.893,7.008,6.979,30,0
59,1,1949018,1954018,3.434,3.395,6.893,6.893,6.979,6.979,30,0
60,1,1954018,1959019,3.395,3.426,6.893,6.705,6.979,6.92,30,0
61,1,1959019,1964019,3.426,3.434,6.705,6.578,6.92,6.32,30,0
62,1,1964019,1969019,3.434,3.458,6.578,6.801,6.32,7.62,30,0
63,1,1969019,1974019,3.458,3.517,6.801,6.542,7.62,7.404,30,0
64,1,1974019,1979020,3.517,3.549,6.542,6.532,7.404,7.211,30,0
65,1,1979020,1984019,3.549,3.584,6.532,6.175,7.211,6.763,30,1
66,1,1984019,1989020,3.584,3.497,6.175,6.197,6.763,7.681,30,0
67,1,1989020,1994020,3.497,3.549,6.197,6.232,7.681,7.566,30,0
68,1,1994020,1999021,3.549,3.667,6.232,6.232,7.566,7.527,30,0
