Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd
3,221547,226548,22.922,22.954,5.0,5.0,5.0,5.0
3,226548,231548,22.954,22.989,5.0,5.004,5.0,3.289
3,231548,236548,22.989,22.84,5.004,5.004,3.289,2.994
3,236548,241548,22.84,22.796,5.004,5.014,2.994,2.307
3,241548,246549,22.796,22.717,5.014,5.014,2.307,1.828
3,246549,251548,22.717,22.595,5.014,5.014,1.828,1.696
3,251548,256549,22.595,22.489,5.014,4.417,1.696,1.677
3,256549,261549,22.489,22.382,4.417,4.145,1.677,1.613
3,261549,266550,22.382,22.52,4.145,3.82,1.613,1.673
3,266550,271549,22.52,22.295,3.82,3.82,1.673,1.673
3,271549,276550,22.295,22.244,3.82,3.82,1.673,1.589
3,276550,281550,22.244,22.165,3.82,3.778,1.589,1.242
3,281550,286550,22.165,22.323,3.778,3.774,1.242,1.403
3,286550,291550,22.323,22.173,3.774,3.774,1.403,1.284
3,291550,296551,22.173,22.035,3.774,3.266,1.284,1.323
3,296551,301551,22.035,22.031,3.266,3.266,1.323,1.323
3,301551,306551,22.031,21.956,3.266,3.266,1.323,1.32
3,306551,311551,21.956,21.917,3.266,3.266,1.32,1.32
3,311551,316552,21.917,21.755,3.266,3.266,1.32,1.32
3,316552,321551,21.755,21.684,3.266,2.685,1.32,2.378
3,321551,326552,21.684,21.578,2.685,2.551,2.378,2.807
3,326552,331552,21.578,21.503,2.551,2.52,2.807,2.897
3,331552,336553,21.503,21.491,2.52,2.486,2.897,2.938
