,Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd,user,Probe
0,1,2151027,2156027,5.236,6.932,4.997,4.85,8.962,8.851,27.935,27.92,37.795,38.754,40.368,41.878,6.837,7.617,5.974,6.385,6.837,6.754,6,0
1,1,2156027,2161027,6.932,6.932,4.85,4.85,8.851,9.041,27.92,27.924,38.754,35.431,41.878,40.116,7.617,7.534,6.385,6.302,6.754,6.754,6,0
2,1,2161027,2166027,6.932,6.942,4.85,4.982,9.041,8.895,27.924,27.896,35.431,35.393,40.116,40.735,7.534,7.699,6.302,6.179,6.754,7.001,6,0
3,1,2166027,2171026,6.942,6.942,4.982,4.983,8.895,8.891,27.896,27.878,35.393,36.816,40.735,41.374,7.699,7.494,6.179,6.302,7.001,7.042,6,0
4,1,2171026,2176026,6.942,6.946,4.983,5.001,8.891,8.769,27.878,27.861,36.816,37.436,41.374,39.835,7.494,7.288,6.302,6.385,7.042,6.713,6,0
5,1,2176026,2181026,6.946,6.946,5.001,5.194,8.769,8.662,27.861,27.847,37.436,36.904,39.835,39.729,7.288,38.623,6.385,22.36,6.713,6.795,6,0
6,1,2181026,2186025,6.946,6.92,5.194,5.326,8.662,8.682,27.847,27.84,36.904,37.998,39.729,41.355,38.623,7.452,22.36,6.426,6.795,6.59,6,0
7,1,2186025,2191025,6.92,6.919,5.326,5.301,8.682,8.52,27.84,27.833,37.998,35.17,41.355,40.242,7.452,7.165,6.426,6.549,6.59,6.508,6,0
8,1,2191025,2196025,6.919,6.919,5.301,5.301,8.52,8.583,27.833,27.826,35.17,36.216,40.242,39.758,7.165,7.124,6.549,6.22,6.508,6.508,6,0
9,1,2196025,2201025,6.919,6.897,5.301,5.301,8.583,8.583,27.826,27.826,36.216,36.351,39.758,39.429,7.124,7.699,6.22,6.795,6.508,24.619,6,1
10,1,2201025,2206024,6.897,6.843,5.301,5.345,8.583,8.654,27.826,27.819,36.351,35.664,39.429,41.336,7.699,7.083,6.795,6.631,24.619,7.124,6,0
11,1,2206024,2211024,6.843,6.843,5.345,5.345,8.654,8.544,27.819,27.829,35.664,36.274,41.336,40.271,7.083,6.919,6.631,6.262,7.124,7.247,6,0
12,1,2211024,2216024,6.843,6.843,5.345,5.345,8.544,8.536,27.829,27.833,36.274,37.059,40.271,40.251,6.919,7.288,6.262,6.385,7.247,7.329,6,0
13,1,2216024,2221023,6.843,6.843,5.345,5.345,8.536,8.457,27.833,27.815,37.059,35.974,40.251,40.871,7.288,7.37,6.385,6.877,7.329,7.575,6,0
14,1,2221023,2226023,6.843,6.84,5.345,5.467,8.457,8.437,27.815,27.808,35.974,35.974,40.871,40.126,7.37,8.438,6.877,6.343,7.575,8.52,6,0
15,1,2226023,2231023,6.84,6.84,5.467,5.467,8.437,8.548,27.808,27.801,35.974,35.906,40.126,40.91,8.438,7.617,6.343,6.262,8.52,9.259,6,0
16,1,2231023,2236023,6.84,6.84,5.467,5.467,8.548,8.532,27.801,27.784,35.906,36.255,40.91,40.145,7.617,8.069,6.262,6.262,9.259,9.301,6,0
17,1,2236023,2241022,6.84,6.84,5.467,5.467,8.532,8.449,27.784,27.787,36.255,35.887,40.145,41.219,8.069,7.74,6.262,6.59,9.301,9.793,6,0
18,1,2241022,2246022,6.84,6.84,5.467,5.434,8.449,8.378,27.787,27.77,35.887,36.642,41.219,40.174,7.74,9.218,6.59,6.138,9.793,8.356,6,0
19,1,2246022,2251022,6.84,6.911,5.434,5.262,8.378,8.402,27.77,27.756,36.642,36.351,40.174,41.49,9.218,7.288,6.138,6.179,8.356,10.902,6,0
20,1,2251022,2256021,6.911,6.867,5.262,5.68,8.402,8.654,27.756,27.752,36.351,36.012,41.49,40.503,7.288,59.855,6.179,25.112,10.902,7.781,6,1
21,1,2256021,2261021,6.867,6.845,5.68,5.679,8.654,8.631,27.752,27.721,36.012,36.458,40.503,40.31,59.855,9.793,25.112,6.179,7.781,8.109,6,1
22,1,2261021,2266021,6.845,6.845,5.679,5.639,8.631,8.477,27.721,27.71,36.458,36.7,40.31,41.926,9.793,8.52,6.179,6.631,8.109,9.506,6,0
23,1,2266021,2271021,6.845,6.845,5.639,5.629,8.477,8.394,27.71,27.686,36.7,37.0,41.926,40.842,8.52,7.37,6.631,6.549,9.506,9.424,6,0
24,1,2271021,2276020,6.845,6.845,5.629,5.604,8.394,8.37,27.686,27.672,37.0,35.761,40.842,40.552,7.37,7.617,6.549,6.59,9.424,8.931,6,0
25,1,2276020,2281020,6.845,6.845,5.604,5.598,8.37,8.299,27.672,27.668,35.761,36.381,40.552,41.926,7.617,7.781,6.59,8.027,8.931,11.231,6,0
26,1,2281020,2286021,6.845,6.831,5.598,5.767,8.299,8.272,27.668,27.64,36.381,36.855,41.926,41.384,7.781,7.658,8.027,6.837,11.231,9.793,6,0
27,1,2286021,2291020,6.831,6.642,5.767,5.785,8.272,8.323,27.64,27.626,36.855,36.071,41.384,40.426,7.658,21.087,6.837,10.861,9.793,9.67,6,0
28,1,2291020,2296021,6.642,6.055,5.785,5.756,8.323,8.189,27.626,27.608,36.071,36.342,40.426,41.016,21.087,17.842,10.861,10.204,9.67,9.547,6,0
29,1,2296021,2301021,6.055,6.055,5.756,5.756,8.189,8.13,27.608,27.598,36.342,36.516,41.016,40.29,17.842,19.116,10.204,9.999,9.547,8.602,6,0
30,1,2301021,2306022,6.055,6.145,5.756,5.935,8.13,8.185,27.598,27.594,36.516,36.555,40.29,40.948,19.116,8.397,9.999,8.356,8.602,8.849,6,0
31,1,2306022,2311021,6.145,6.189,5.935,5.887,8.185,8.126,27.594,27.587,36.555,36.855,40.948,40.852,8.397,9.999,8.356,10.286,8.849,9.67,6,0
32,1,2311021,2316022,6.189,6.238,5.887,5.852,8.126,8.059,27.587,27.556,36.855,36.632,40.852,40.242,9.999,9.793,10.286,9.218,9.67,8.233,6,0
33,1,2316022,2321022,6.238,6.293,5.852,5.872,8.059,8.079,27.556,27.542,36.632,36.69,40.242,41.21,9.793,11.559,9.218,9.957,8.233,8.356,6,0
34,1,2321022,2326022,6.293,6.535,5.872,5.885,8.079,7.925,27.542,27.528,36.69,36.661,41.21,40.581,11.559,9.916,9.957,9.342,8.356,8.479,6,0
35,1,2326022,2331022,6.535,6.535,5.885,5.845,7.925,7.933,27.528,27.517,36.661,36.061,40.581,40.184,9.916,11.272,9.342,7.165,8.479,9.957,6,0
36,1,1834013,1839014,5.599,6.235,5.545,5.8,3.584,3.537,26.525,26.518,36.042,35.887,36.022,36.08,8.89,8.89,9.382,9.301,12.422,14.105,30,0
37,1,1839014,1844013,6.235,6.242,5.8,5.774,3.537,3.584,26.518,26.522,35.887,36.535,36.08,35.857,8.89,6.877,9.301,11.313,14.105,11.436,30,0
38,1,1844013,1849014,6.242,6.242,5.774,5.769,3.584,3.533,26.522,26.529,36.535,37.029,35.857,35.77,6.877,31.847,11.313,8.808,11.436,9.095,30,0
39,1,1849014,1854014,6.242,6.242,5.769,5.741,3.533,3.533,26.529,26.525,37.029,36.642,35.77,36.041,31.847,20.882,8.808,9.588,9.095,10.779,30,0
40,1,1854014,1859015,6.242,6.048,5.741,5.547,3.533,3.553,26.525,26.529,36.642,36.051,36.041,35.712,20.882,6.302,9.588,12.216,10.779,9.259,30,0
41,1,1859015,1864014,6.048,7.042,5.547,5.746,3.553,3.549,26.529,26.532,36.051,37.494,35.712,35.179,6.302,47.987,12.216,9.382,9.259,11.066,30,1
42,1,1864014,1869015,7.042,7.027,5.746,5.717,3.549,3.529,26.532,26.518,37.494,36.245,35.179,36.012,47.987,26.344,9.382,9.013,11.066,10.902,30,1
43,1,1869015,1874015,7.027,6.982,5.717,5.561,3.529,3.529,26.518,26.532,36.245,36.042,36.012,36.157,26.344,10.738,9.013,7.986,10.902,9.136,30,0
44,1,1874015,1879015,6.982,6.982,5.561,5.561,3.529,3.537,26.532,26.511,36.042,36.71,36.157,36.476,10.738,10.409,7.986,8.931,9.136,7.945,30,0
45,1,1879015,1884015,6.982,6.871,5.561,5.579,3.537,3.517,26.511,26.508,36.71,36.361,36.476,35.683,10.409,8.849,8.931,8.109,7.945,10.122,30,0
46,1,1884015,1889016,6.871,6.35,5.579,5.321,3.517,3.537,26.508,26.515,36.361,35.48,35.683,36.893,8.849,8.602,8.109,9.506,10.122,9.259,30,0
47,1,1889016,1894016,6.35,6.292,5.321,5.062,3.537,3.497,26.515,26.515,35.48,36.516,36.893,35.025,8.602,24.742,9.506,8.644,9.259,19.814,30,0
48,1,1894016,1899016,6.292,6.479,5.062,5.094,3.497,3.509,26.515,26.515,36.516,37.795,35.025,36.07,24.742,45.523,8.644,8.52,19.814,7.863,30,0
49,1,1899016,1904016,6.479,7.404,5.094,7.089,3.509,3.517,26.515,26.511,37.795,36.468,36.07,38.064,45.523,28.725,8.52,10.081,7.863,9.506,30,0
50,1,1904016,1909017,7.404,7.069,7.089,7.286,3.517,3.474,26.511,26.518,36.468,36.497,38.064,35.392,28.725,48.972,10.081,8.849,9.506,8.027,30,0
51,1,1909017,1914016,7.069,7.197,7.286,7.353,3.474,3.391,26.518,26.511,36.497,36.313,35.392,38.016,48.972,10.409,8.849,8.684,8.027,8.52,30,0
52,1,1914016,1919017,7.197,7.221,7.353,7.352,3.391,3.474,26.511,26.504,36.313,37.029,38.016,37.503,10.409,9.342,8.684,8.274,8.52,8.233,30,0
53,1,1919017,1924017,7.221,7.471,7.352,7.361,3.474,3.466,26.504,26.504,37.029,37.785,37.503,37.29,9.342,16.693,8.274,7.904,8.233,8.52,30,0
54,1,1924017,1929018,7.471,7.364,7.361,7.158,3.466,3.375,26.504,26.508,37.785,36.555,37.29,35.789,16.693,52.134,7.904,10.697,8.52,11.764,30,0
55,1,1929018,1934017,7.364,7.082,7.158,7.035,3.375,3.442,26.508,26.511,36.555,36.69,35.789,37.154,52.134,18.294,10.697,8.15,11.764,8.15,30,0
56,1,1934017,1939018,7.082,6.625,7.035,6.969,3.442,3.45,26.511,26.508,36.69,37.088,37.154,36.302,18.294,28.438,8.15,8.027,8.15,10.943,30,0
57,1,1939018,1944018,6.625,6.929,6.969,7.008,3.45,3.391,26.508,26.508,37.088,36.971,36.302,35.17,28.438,36.364,8.027,11.764,10.943,10.122,30,0
58,1,1944018,1949018,6.929,6.893,7.008,6.979,3.391,3.434,26.508,26.508,36.971,36.371,35.17,36.777,36.364,16.734,11.764,7.699,10.122,7.083,30,1
59,1,1949018,1954018,6.893,6.893,6.979,6.979,3.434,3.395,26.508,26.525,36.371,36.477,36.777,37.706,16.734,15.378,7.699,7.945,7.083,8.109,30,0
60,1,1954018,1959019,6.893,6.705,6.979,6.92,3.395,3.426,26.525,26.525,36.477,36.332,37.706,36.893,15.378,8.726,7.945,7.945,8.109,7.863,30,0
61,1,1959019,1964019,6.705,6.578,6.92,6.32,3.426,3.434,26.525,26.525,36.332,36.826,36.893,36.622,8.726,12.504,7.945,7.247,7.863,7.534,30,0
62,1,1964019,1969019,6.578,6.801,6.32,7.62,3.434,3.458,26.525,26.529,36.826,35.402,36.622,37.173,12.504,34.763,7.247,8.561,7.534,7.658,30,1
63,1,1969019,1974019,6.801,6.542,7.62,7.404,3.458,3.517,26.529,26.532,35.402,35.906,37.173,37.396,34.763,42.648,8.561,9.629,7.658,7.165,30,0
64,1,1974019,1979020,6.542,6.532,7.404,7.211,3.517,3.549,26.532,26.529,35.906,36.458,37.396,35.731,42.648,50.779,9.629,8.602,7.165,22.648,30,0
65,1,1979020,1984019,6.532,6.175,7.211,6.763,3.549,3.584,26.529,26.518,36.458,37.155,35.731,37.628,50.779,31.601,8.602,9.424,22.648,8.479,30,0
