Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd
5,1082780,1087781,5.0,5.0,5.0,5.0,15.581,15.51,24.12,24.131,34.327,35.838,32.798,32.914,5.563,5.194,5.974,6.097,18.5,12.422
5,1087781,1092781,5.0,5.0,5.0,5.0,15.51,15.223,24.131,24.12,35.838,35.887,32.914,32.14,5.194,5.03,6.097,7.74,12.422,13.079
5,1092781,1097781,5.0,5.0,5.0,5.0,15.223,15.179,24.12,24.117,35.887,36.061,32.14,32.218,5.03,4.947,7.74,5.851,13.079,15.461
5,1097781,1102781,5.0,4.966,5.0,4.414,15.179,15.104,24.117,24.106,36.061,35.615,32.218,31.908,4.947,4.906,5.851,5.687,15.461,12.709
5,1102781,1107782,4.966,5.048,4.414,3.569,15.104,15.002,24.106,24.103,35.615,37.175,31.908,33.786,4.906,4.988,5.687,5.892,12.709,12.956
5,1107782,1112782,5.048,5.048,3.569,3.604,15.002,15.108,24.103,24.082,37.175,37.523,33.786,31.917,4.988,4.742,5.892,5.727,12.956,13.325
5,1112782,1117782,5.048,5.048,3.604,3.605,15.108,14.99,24.082,24.089,37.523,36.138,31.917,32.034,4.742,4.988,5.727,6.015,13.325,13.571
5,1117782,1122782,5.048,5.048,3.605,3.605,14.99,15.065,24.089,24.089,36.138,38.56,32.034,32.672,4.988,4.906,6.015,5.974,13.571,13.202
5,1122782,1127783,5.048,5.048,3.605,3.466,15.065,15.01,24.089,24.075,38.56,35.518,32.672,32.779,4.906,4.824,5.974,5.851,13.202,13.161
5,1127783,1132782,5.048,5.048,3.466,3.466,15.01,14.915,24.075,24.078,35.518,36.497,32.779,33.089,4.824,4.988,5.851,5.727,13.161,13.366
5,1132782,1137783,5.048,3.907,3.466,3.47,14.915,14.907,24.078,24.071,36.497,35.983,33.089,32.556,4.988,5.07,5.727,5.687,13.366,13.777
5,1137783,1142783,3.907,3.634,3.47,3.508,14.907,15.029,24.071,24.054,35.983,38.57,32.556,32.198,5.07,6.837,5.687,6.015,13.777,13.12
5,1142783,1147784,3.634,3.628,3.508,3.508,15.029,15.057,24.054,24.064,38.57,37.291,32.198,32.585,6.837,4.988,6.015,5.974,13.12,12.668
5,1147784,1152783,3.628,3.612,3.508,3.43,15.057,15.085,24.064,24.033,37.291,37.611,32.585,32.876,4.988,4.947,5.974,5.851,12.668,13.243
5,1152783,1157784,3.612,3.476,3.43,2.948,15.085,15.01,24.033,24.057,37.611,34.346,32.876,32.663,4.947,5.235,5.851,6.138,13.243,15.543
5,1157784,1162784,3.476,3.378,2.948,2.66,15.01,16.5,24.057,24.047,34.346,35.751,32.663,31.995,5.235,4.906,6.138,6.015,15.543,13.777
5,1162784,1167784,3.378,3.268,2.66,2.66,16.5,15.806,24.047,24.043,35.751,37.94,31.995,32.498,4.906,5.03,6.015,6.138,13.777,13.079
5,1167784,1172784,3.268,3.029,2.66,2.72,15.806,15.435,24.043,24.029,37.94,37.155,32.498,32.063,5.03,4.947,6.138,5.974,13.079,12.915
5,1172784,1177785,3.029,3.029,2.72,2.761,15.435,15.538,24.029,24.05,37.155,36.129,32.063,32.295,4.947,5.153,5.974,6.138,12.915,14.064
5,1177785,1182785,3.029,3.024,2.761,2.78,15.538,15.562,24.05,24.033,36.129,37.698,32.295,32.072,5.153,4.947,6.138,6.22,14.064,12.75
5,1182785,1187785,3.024,3.012,2.78,2.811,15.562,15.55,24.033,24.04,37.698,38.637,32.072,34.192,4.947,5.892,6.22,6.097,12.75,13.038
5,1187785,1192785,3.012,2.973,2.811,2.883,15.55,15.672,24.04,24.026,38.637,37.494,34.192,32.092,5.892,4.824,6.097,6.138,13.038,13.243
5,1192785,1197786,2.973,2.967,2.883,2.883,15.672,15.491,24.026,24.022,37.494,38.434,32.092,32.75,4.824,4.988,6.138,5.851,13.243,13.079
5,1197786,1202785,2.967,2.942,2.883,2.907,15.491,15.4,24.022,24.019,38.434,35.693,32.75,32.653,4.988,4.947,5.851,6.056,13.079,13.531
5,1202785,1207786,2.942,2.916,2.907,2.925,15.4,15.234,24.019,24.026,35.693,37.669,32.653,33.205,4.947,4.988,6.056,6.262,13.531,12.996
5,1207786,1212786,2.916,2.887,2.925,2.96,15.234,15.278,24.026,24.008,37.669,35.431,33.205,32.179,4.988,4.988,6.262,5.974,12.996,16.775
5,1212786,1217787,2.887,2.786,2.96,3.01,15.278,15.412,24.008,24.008,35.431,36.071,32.179,33.34,4.988,11.683,5.974,6.097,16.775,13.079
5,1217787,1222786,2.786,2.714,3.01,3.01,15.412,15.822,24.008,24.001,36.071,35.073,33.34,32.779,11.683,5.399,6.097,6.056,13.079,13.613
5,1222786,1227787,2.714,2.621,3.01,3.01,15.822,15.688,24.001,23.984,35.073,34.608,32.779,32.653,5.399,4.988,6.056,6.22,13.613,13.284
