Start,Border,End,Score
2331584.01,2332584.01,2333584.01,2.2402566127936434
2332584.01,2333584.01,2334584.01,1.9225229953329113
2333584.01,2334584.01,2335584.01,0.7629029566995006
2334584.01,2335584.01,2336584.01,1.4830022347946488
2335584.01,2336584.01,2337584.01,4.0593810691155285
2336584.01,2337584.01,2338584.01,0.6561670068555616
2337584.01,2338584.01,2339584.01,0.656237568657315
2338584.01,2339584.01,2340584.01,3.4221104850620057
2339584.01,2340584.01,2341584.01,0.7884477728302606
2340584.01,2341584.01,2342584.01,2.146096943789858
2341584.01,2342584.01,2343584.01,1.435854410462552
2342584.01,2343584.01,2344584.01,1.9379622584680247
2343584.01,2344584.01,2345584.01,1.642541276133792
2344584.01,2345584.01,2346584.01,0.14826141878100307
2345584.01,2346584.01,2347584.01,3.6059249624952248
2346584.01,2347584.01,2348584.01,1.7910597341592223
2347584.01,2348584.01,2349584.01,1.8444692618361924
2348584.01,2349584.01,2350584.01,2.0183304115027605
2349584.01,2350584.01,2351584.01,1.7489142512771663
2350584.01,2351584.01,2352584.01,2.431882678308723
2351584.01,2352584.01,2353584.01,1.6031918090438044
2352584.01,2353584.01,2354584.01,2.1601885840897577
2353584.01,2354584.01,2355584.01,2.424112266838354
2354584.01,2355584.01,2356584.01,2.3426876891361497
2355584.01,2356584.01,2357584.01,2.4414262425661155
2356584.01,2357584.01,2358584.01,2.8175916239047405
2357584.01,2358584.01,2359584.01,1.9938884404894666
2358584.01,2359584.01,2360584.01,1.8015774231884643
2359584.01,2360584.01,2361584.01,2.1710174423534285
2360584.01,2361584.01,2362584.01,2.6655946591662536
2361584.01,2362584.01,2363584.01,2.680703024705779
2362584.01,2363584.01,2364584.01,1.359934731676726
2363584.01,2364584.01,2365584.01,1.873025227382127
2364584.01,2365584.01,2366584.01,2.785043743669278
2365584.01,2366584.01,2367584.01,2.1946125192983326
2366584.01,2367584.01,2368584.01,2.4186267248933833
2367584.01,2368584.01,2369584.01,2.988686101161287
2368584.01,2369584.01,2370584.01,3.1021753147628397
2369584.01,2370584.01,2371584.01,4.665077558278399
2370584.01,2371584.01,2372584.01,3.3280049959341107
2371584.01,2372584.01,2373584.01,1.8432049272270634
2372584.01,2373584.01,2374584.01,3.012744865179603
2373584.01,2374584.01,2375584.01,2.6748096791854916
2374584.01,2375584.01,2376584.01,1.628655240887825
2375584.01,2376584.01,2377584.01,2.748740947147432
2376584.01,2377584.01,2378584.01,1.7834575820230039
2377584.01,2378584.01,2379584.01,3.094231178581076
2378584.01,2379584.01,2380584.01,1.7524850757510622
2379584.01,2380584.01,2381584.01,2.3549863576071193
2380584.01,2381584.01,2382584.01,2.233203003266527
2381584.01,2382584.01,2383584.01,1.912324752136045
2382584.01,2383584.01,2384584.01,1.7819465100263934
2383584.01,2384584.01,2385584.01,1.8046620750583977
2384584.01,2385584.01,2386584.01,1.8229399423533557
2385584.01,2386584.01,2387584.01,3.1244366694098114
2386584.01,2387584.01,2388584.01,2.1743448343368894
2387584.01,2388584.01,2389584.01,2.4329927130347264
2388584.01,2389584.01,2390584.01,2.85412893697735
2389584.01,2390584.01,2391584.01,1.7025151522366329
2390584.01,2391584.01,2392584.01,0.8440173999305453
2391584.01,2392584.01,2393584.01,8.166056960036409
2392584.01,2393584.01,2394584.01,1.2452341874992696
2393584.01,2394584.01,2395584.01,2.6320585425956216
2394584.01,2395584.01,2396584.01,2.6229514511525247
2395584.01,2396584.01,2397584.01,2.081867875837247
2396584.01,2397584.01,2398584.01,1.543568609052945
2397584.01,2398584.01,2399584.01,3.295613609681602
2398584.01,2399584.01,2400584.01,2.5693667246805942
2399584.01,2400584.01,2401584.01,2.23411421361292
2400584.01,2401584.01,2402584.01,3.030526891949437
2401584.01,2402584.01,2403584.01,2.9120223044570728
2402584.01,2403584.01,2404584.01,2.497210949986598
2403584.01,2404584.01,2405584.01,1.8747838375238368
2404584.01,2405584.01,2406584.01,2.197654530115342
2405584.01,2406584.01,2407584.01,2.571127541744906
2406584.01,2407584.01,2408584.01,1.5769254534711477
2407584.01,2408584.01,2409584.01,2.171024267426696
2408584.01,2409584.01,2410584.01,2.8858891876346675
2409584.01,2410584.01,2411584.01,1.5270997414376866
2410584.01,2411584.01,2412584.01,2.7070835074120354
2411584.01,2412584.01,2413584.01,2.9834633291377655
2412584.01,2413584.01,2414584.01,2.3024268940382884
2413584.01,2414584.01,2415584.01,3.580582418381872
2414584.01,2415584.01,2416584.01,2.464788580428255
2415584.01,2416584.01,2417584.01,2.1006585279625516
2416584.01,2417584.01,2418584.01,1.3029205867047595
2417584.01,2418584.01,2419584.01,1.3752194900675687
2418584.01,2419584.01,2420584.01,1.661677746028826
2419584.01,2420584.01,2421584.01,0.5931690153632463
2420584.01,2421584.01,2422584.01,1.381455384167355
2421584.01,2422584.01,2423584.01,2.5929396040075314
2422584.01,2423584.01,2424584.01,2.9218625107166236
2423584.01,2424584.01,2425584.01,1.2651951621636444
2424584.01,2425584.01,2426584.01,1.967201755921931
2425584.01,2426584.01,2427584.01,1.6989024374697317
2426584.01,2427584.01,2428584.01,2.4462390393522706
2427584.01,2428584.01,2429584.01,2.4038966018200716
2428584.01,2429584.01,2430584.01,2.066376213858866
2429584.01,2430584.01,2431584.01,2.001908381565385
2430584.01,2431584.01,2432584.01,2.1079195344368777
2431584.01,2432584.01,2433584.01,1.736694673359637
2432584.01,2433584.01,2434584.01,2.1813479621053906
2433584.01,2434584.01,2435584.01,1.3438112955565755
2434584.01,2435584.01,2436584.01,3.2242150101664406
2435584.01,2436584.01,2437584.01,1.3270543540664923
2436584.01,2437584.01,2438584.01,2.7244207795018625
2437584.01,2438584.01,2439584.01,2.7168074623708534
2438584.01,2439584.01,2440584.01,2.997721222124838
2439584.01,2440584.01,2441584.01,3.0017418557050606
2440584.01,2441584.01,2442584.01,3.2372018330495953
2441584.01,2442584.01,2443584.01,3.0129445744232006
