2
Subject,10
Window:, 1
Mean Valence:,5.0,Mean Arousal:,5.0
Max Valence:,5.0,Max Arousal:,5.0
Min Valence:,5.0,Min Arousal:,5.0
Median Valence:,5.0,Median Arousal:,5.0
Window:, 2
Mean Valence:,5.0,Mean Arousal:,5.003227722772279
Max Valence:,5.0,Max Arousal:,5.011
Min Valence:,5.0,Min Arousal:,5.0
Median Valence:,5.0,Median Arousal:,5.0
Window:, 3
Mean Valence:,5.0,Mean Arousal:,5.013336633663366
Max Valence:,5.0,Max Arousal:,5.015
Min Valence:,5.0,Min Arousal:,5.011
Median Valence:,5.0,Median Arousal:,5.015
Window:, 4
Mean Valence:,5.0,Mean Arousal:,5.021178217821781
Max Valence:,5.0,Max Arousal:,5.032
Min Valence:,5.0,Min Arousal:,5.015
Median Valence:,5.0,Median Arousal:,5.015
Window:, 5
Mean Valence:,5.467920792079207,Mean Arousal:,5.079128712871286
Max Valence:,6.41,Max Arousal:,5.154
Min Valence:,5.0,Min Arousal:,5.0
Median Valence:,5.117,Median Arousal:,5.078
Window:, 6
Mean Valence:,6.457970297029705,Mean Arousal:,5.156128712871286
Max Valence:,6.471,Max Arousal:,5.161
Min Valence:,6.41,Min Arousal:,5.154
Median Valence:,6.471,Median Arousal:,5.154
Window:, 7
Mean Valence:,6.471000000000003,Mean Arousal:,5.161
Max Valence:,6.471,Max Arousal:,5.161
Min Valence:,6.471,Min Arousal:,5.161
Median Valence:,6.471,Median Arousal:,5.161
Window:, 8
Mean Valence:,6.471000000000003,Mean Arousal:,5.161
Max Valence:,6.471,Max Arousal:,5.161
Min Valence:,6.471,Min Arousal:,5.161
Median Valence:,6.471,Median Arousal:,5.161
Window:, 9
Mean Valence:,6.471000000000003,Mean Arousal:,5.16849504950495
Max Valence:,6.471,Max Arousal:,5.189
Min Valence:,6.471,Min Arousal:,5.161
Median Valence:,6.471,Median Arousal:,5.17
Window:, 10
Mean Valence:,5.569009900990099,Mean Arousal:,5.133465346534653
Max Valence:,6.471,Max Arousal:,5.241
Min Valence:,5.0,Min Arousal:,5.0
Median Valence:,5.369,Median Arousal:,5.189
Window:, 11
Mean Valence:,5.0,Mean Arousal:,5.027207920792079
Max Valence:,5.0,Max Arousal:,5.03
Min Valence:,5.0,Min Arousal:,5.018
Median Valence:,5.0,Median Arousal:,5.03
Window:, 12
Mean Valence:,5.0,Mean Arousal:,5.058495049504951
Max Valence:,5.0,Max Arousal:,5.095
Min Valence:,5.0,Min Arousal:,5.03
Median Valence:,5.0,Median Arousal:,5.031
Window:, 13
Mean Valence:,5.0,Mean Arousal:,5.095000000000001
Max Valence:,5.0,Max Arousal:,5.095
Min Valence:,5.0,Min Arousal:,5.095
Median Valence:,5.0,Median Arousal:,5.095
Window:, 14
Mean Valence:,5.0,Mean Arousal:,5.095000000000001
Max Valence:,5.0,Max Arousal:,5.095
Min Valence:,5.0,Min Arousal:,5.095
Median Valence:,5.0,Median Arousal:,5.095
Window:, 15
Mean Valence:,5.0,Mean Arousal:,5.095000000000001
Max Valence:,5.0,Max Arousal:,5.095
Min Valence:,5.0,Min Arousal:,5.095
Median Valence:,5.0,Median Arousal:,5.095
Window:, 16
Mean Valence:,5.0,Mean Arousal:,5.095000000000001
