Start,Border,End,Score
2331584.01,2332584.01,2333584.01,9.40981005445902
2332584.01,2333584.01,2334584.01,10.503850911218796
2333584.01,2334584.01,2335584.01,1.7539659922605488
2334584.01,2335584.01,2336584.01,2.3084282618473266
2335584.01,2336584.01,2337584.01,2.578641096868715
2336584.01,2337584.01,2338584.01,1.2499260842603153
2337584.01,2338584.01,2339584.01,1.2490518652662104
2338584.01,2339584.01,2340584.01,1.6085230329328692
2339584.01,2340584.01,2341584.01,4.652440404933127
2340584.01,2341584.01,2342584.01,1.4753473550286114
2341584.01,2342584.01,2343584.01,2.0665916016595443
2342584.01,2343584.01,2344584.01,2.3446806860738603
2343584.01,2344584.01,2345584.01,1.4632164604621176
2344584.01,2345584.01,2346584.01,2.8871086433512665
2345584.01,2346584.01,2347584.01,4.351120385184542
2346584.01,2347584.01,2348584.01,4.5184490782757045
2347584.01,2348584.01,2349584.01,7.839542922585801
2348584.01,2349584.01,2350584.01,5.914185838191869
2349584.01,2350584.01,2351584.01,4.5929090843958384
2350584.01,2351584.01,2352584.01,3.599290926336722
2351584.01,2352584.01,2353584.01,4.475905545547485
2352584.01,2353584.01,2354584.01,5.524026244472154
2353584.01,2354584.01,2355584.01,3.444175120739417
2354584.01,2355584.01,2356584.01,1.4999145030260932
2355584.01,2356584.01,2357584.01,1.8924282164575235
2356584.01,2357584.01,2358584.01,1.5849139889732662
2357584.01,2358584.01,2359584.01,1.5024367391673048
2358584.01,2359584.01,2360584.01,2.665150613489006
2359584.01,2360584.01,2361584.01,2.85147150827457
2360584.01,2361584.01,2362584.01,2.226644108711371
2361584.01,2362584.01,2363584.01,2.561762856691984
2362584.01,2363584.01,2364584.01,1.8397557458506577
2363584.01,2364584.01,2365584.01,1.5410540587842136
2364584.01,2365584.01,2366584.01,1.9824226145231296
2365584.01,2366584.01,2367584.01,1.6669086109397455
2366584.01,2367584.01,2368584.01,1.5934623310614169
2367584.01,2368584.01,2369584.01,1.5224157586585472
2368584.01,2369584.01,2370584.01,1.7891016444955767
2369584.01,2370584.01,2371584.01,0.840767415003218
2370584.01,2371584.01,2372584.01,1.438493153792367
2371584.01,2372584.01,2373584.01,1.7556670083237422
2372584.01,2373584.01,2374584.01,1.0850908628088032
2373584.01,2374584.01,2375584.01,0.7055411751250061
2374584.01,2375584.01,2376584.01,0.704594444081518
2375584.01,2376584.01,2377584.01,0.8452743204512222
2376584.01,2377584.01,2378584.01,1.4301924473807417
2377584.01,2378584.01,2379584.01,2.281683944314368
2378584.01,2379584.01,2380584.01,2.2021909857840827
2379584.01,2380584.01,2381584.01,1.8422393960491419
2380584.01,2381584.01,2382584.01,1.7169533048315107
2381584.01,2382584.01,2383584.01,1.383340397899777
2382584.01,2383584.01,2384584.01,2.919152933267044
2383584.01,2384584.01,2385584.01,1.930583686725836
2384584.01,2385584.01,2386584.01,1.8899192663902258
2385584.01,2386584.01,2387584.01,0.7537284782986254
2386584.01,2387584.01,2388584.01,0.5283467455663428
2387584.01,2388584.01,2389584.01,6.373639610352228
2388584.01,2389584.01,2390584.01,1.485154405422203
2389584.01,2390584.01,2391584.01,2.3377817497376556
2390584.01,2391584.01,2392584.01,1.9875261876454642
2391584.01,2392584.01,2393584.01,5.194624386065753
2392584.01,2393584.01,2394584.01,0.7821008229067583
2393584.01,2394584.01,2395584.01,1.5068908694540049
2394584.01,2395584.01,2396584.01,1.8487277519370753
2395584.01,2396584.01,2397584.01,2.3605690250763534
2396584.01,2397584.01,2398584.01,0.9455887458393832
2397584.01,2398584.01,2399584.01,1.94497599334098
2398584.01,2399584.01,2400584.01,1.4920229450403482
2399584.01,2400584.01,2401584.01,1.5211203737904897
2400584.01,2401584.01,2402584.01,2.1018694819661725
2401584.01,2402584.01,2403584.01,1.7061940501438668
2402584.01,2403584.01,2404584.01,1.395753496919704
2403584.01,2404584.01,2405584.01,3.040564214235009
2404584.01,2405584.01,2406584.01,2.744450909433424
2405584.01,2406584.01,2407584.01,2.1348044957471783
2406584.01,2407584.01,2408584.01,1.817224432804726
2407584.01,2408584.01,2409584.01,3.573200338814477
2408584.01,2409584.01,2410584.01,2.498407305292444
2409584.01,2410584.01,2411584.01,1.5526407322080351
2410584.01,2411584.01,2412584.01,1.6065542981449294
2411584.01,2412584.01,2413584.01,0.7768617387171628
2412584.01,2413584.01,2414584.01,0.7269840627375537
2413584.01,2414584.01,2415584.01,0.6841477968696983
2414584.01,2415584.01,2416584.01,1.2768288110173738
2415584.01,2416584.01,2417584.01,1.3473601389619794
2416584.01,2417584.01,2418584.01,1.6705303675515626
2417584.01,2418584.01,2419584.01,1.2131781313397751
2418584.01,2419584.01,2420584.01,1.7247801174748187
2419584.01,2420584.01,2421584.01,2.6385538457491347
2420584.01,2421584.01,2422584.01,1.8555790712210025
2421584.01,2422584.01,2423584.01,1.986796952402558
2422584.01,2423584.01,2424584.01,0.7942774965067492
2423584.01,2424584.01,2425584.01,1.9861043432556384
2424584.01,2425584.01,2426584.01,1.3897401777486709
2425584.01,2426584.01,2427584.01,2.497017422921042
2426584.01,2427584.01,2428584.01,1.534035129810483
2427584.01,2428584.01,2429584.01,2.7375015480065583
2428584.01,2429584.01,2430584.01,1.9479792927719244
2429584.01,2430584.01,2431584.01,2.82346809850789
2430584.01,2431584.01,2432584.01,2.589812379274147
2431584.01,2432584.01,2433584.01,1.5518844896447377
2432584.01,2433584.01,2434584.01,2.288326134580485
2433584.01,2434584.01,2435584.01,1.9842356392691824
2434584.01,2435584.01,2436584.01,2.1210371532397607
2435584.01,2436584.01,2437584.01,1.5351546040869193
2436584.01,2437584.01,2438584.01,2.4817621608104474
2437584.01,2438584.01,2439584.01,3.1727584858544238
2438584.01,2439584.01,2440584.01,1.4518651278779424
2439584.01,2440584.01,2441584.01,3.358425493810345
2440584.01,2441584.01,2442584.01,1.8728051165209534
2441584.01,2442584.01,2443584.01,3.5858659903983114
2442584.01,2443584.01,2444584.01,1.7651985105528134
2443584.01,2444584.01,2445584.01,3.2378330537673605
2444584.01,2445584.01,2446584.01,1.9147748992590456
2445584.01,2446584.01,2447584.01,5.684331454863223
2446584.01,2447584.01,2448584.01,3.272654692674707
2447584.01,2448584.01,2449584.01,1.7653035844627265
2448584.01,2449584.01,2450584.01,2.2009285669500245
