Video,User,Threshold,Number of changes
1,10,0.5,21
1,11,0.5,15
1,12,0.5,6
1,13,0.5,34
1,14,0.5,18
1,15,0.5,26
1,16,0.5,24
1,17,0.5,7
1,18,0.5,8
1,19,0.5,17
1,1,0.5,20
1,20,0.5,29
1,21,0.5,6
1,22,0.5,17
1,23,0.5,5
1,24,0.5,11
1,25,0.5,4
1,26,0.5,31
1,27,0.5,9
1,28,0.5,13
1,29,0.5,34
1,2,0.5,19
1,30,0.5,34
1,3,0.5,28
1,4,0.5,28
1,5,0.5,11
1,6,0.5,18
1,7,0.5,30
1,8,0.5,33
1,9,0.5,23
1,10,1,7
1,11,1,9
1,12,1,4
1,13,1,24
1,14,1,14
1,15,1,21
1,16,1,16
1,17,1,0
1,18,1,5
1,19,1,13
1,1,1,10
1,20,1,21
1,21,1,3
1,22,1,10
1,23,1,1
1,24,1,5
1,25,1,0
1,26,1,26
1,27,1,6
1,28,1,7
1,29,1,32
1,2,1,8
1,30,1,27
1,3,1,25
1,4,1,22
1,5,1,7
1,6,1,9
1,7,1,19
1,8,1,23
1,9,1,13
1,10,1.5,3
1,11,1.5,6
1,12,1.5,2
1,13,1.5,19
1,14,1.5,12
1,15,1.5,13
1,16,1.5,12
1,17,1.5,0
1,18,1.5,4
1,19,1.5,7
1,1,1.5,8
1,20,1.5,12
1,21,1.5,2
1,22,1.5,6
1,23,1.5,1
1,24,1.5,3
1,25,1.5,0
1,26,1.5,20
1,27,1.5,5
1,28,1.5,4
1,29,1.5,26
1,2,1.5,3
1,30,1.5,25
1,3,1.5,16
1,4,1.5,15
1,5,1.5,5
1,6,1.5,6
1,7,1.5,13
1,8,1.5,17
1,9,1.5,8
2,10,0.5,14
2,11,0.5,18
2,12,0.5,12
2,13,0.5,29
2,14,0.5,19
2,15,0.5,20
2,16,0.5,11
2,17,0.5,4
2,18,0.5,3
2,19,0.5,24
2,1,0.5,30
2,20,0.5,28
2,21,0.5,12
2,22,0.5,26
2,23,0.5,13
2,24,0.5,23
2,25,0.5,15
2,26,0.5,21
2,27,0.5,15
2,28,0.5,18
2,29,0.5,15
2,2,0.5,25
2,30,0.5,26
2,3,0.5,29
2,4,0.5,27
2,5,0.5,23
2,6,0.5,19
2,7,0.5,23
