Video,User,Threshold,Number of changes
1,10,0.5,12
1,11,0.5,14
1,12,0.5,2
1,13,0.5,6
1,14,0.5,19
1,15,0.5,16
1,16,0.5,7
1,17,0.5,7
1,18,0.5,4
1,19,0.5,8
1,1,0.5,15
1,20,0.5,3
1,21,0.5,0
1,22,0.5,10
1,23,0.5,7
1,24,0.5,7
1,25,0.5,6
1,26,0.5,2
1,27,0.5,7
1,28,0.5,8
1,29,0.5,8
1,2,0.5,5
1,30,0.5,10
1,3,0.5,5
1,4,0.5,8
1,5,0.5,7
1,6,0.5,4
1,7,0.5,16
1,8,0.5,15
1,9,0.5,4
1,10,1,2
1,11,1,9
1,12,1,2
1,13,1,1
1,14,1,5
1,15,1,5
1,16,1,4
1,17,1,4
1,18,1,2
1,19,1,6
1,1,1,8
1,20,1,0
1,21,1,0
1,22,1,5
1,23,1,3
1,24,1,5
1,25,1,4
1,26,1,1
1,27,1,2
1,28,1,3
1,29,1,3
1,2,1,1
1,30,1,3
1,3,1,1
1,4,1,2
1,5,1,5
1,6,1,2
1,7,1,4
1,8,1,10
1,9,1,1
1,10,1.5,1
1,11,1.5,2
1,12,1.5,2
1,13,1.5,1
1,14,1.5,2
1,15,1.5,0
1,16,1.5,4
1,17,1.5,0
1,18,1.5,2
1,19,1.5,3
1,1,1.5,5
1,20,1.5,0
1,21,1.5,0
1,22,1.5,3
1,23,1.5,2
1,24,1.5,5
1,25,1.5,2
1,26,1.5,1
1,27,1.5,1
1,28,1.5,2
1,29,1.5,0
1,2,1.5,0
1,30,1.5,0
1,3,1.5,1
1,4,1.5,1
1,5,1.5,1
1,6,1.5,2
1,7,1.5,1
1,8,1.5,4
1,9,1.5,0
2,10,0.5,6
2,11,0.5,3
2,12,0.5,9
2,13,0.5,3
2,14,0.5,9
2,15,0.5,11
2,16,0.5,6
2,17,0.5,8
2,18,0.5,4
2,19,0.5,4
2,1,0.5,7
2,20,0.5,7
2,21,0.5,0
2,22,0.5,13
2,23,0.5,7
2,24,0.5,2
2,25,0.5,6
2,26,0.5,6
2,27,0.5,2
2,28,0.5,11
2,29,0.5,3
2,2,0.5,12
2,30,0.5,10
2,3,0.5,7
2,4,0.5,10
2,5,0.5,10
2,6,0.5,6
2,7,0.5,4
2,8,0.5,10
2,9,0.5,6
2,10,1,6
