Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0,5.0,5.0,5.0,4.9603960396039595,5.0,4.856,4.985
2,5.347148514851486,5.98,4.973,5.323,4.334514851485149,4.856,3.606,4.537
3,6.033772277227724,6.042,5.98,6.042,3.459445544554455,3.606,3.383,3.446
4,6.042495049504951,6.044,6.042,6.042,3.327683168316831,3.383,3.287,3.326
5,6.04888118811881,6.055,6.044,6.045,3.255613861386139,3.287,3.223,3.265
6,6.055376237623762,6.062,6.055,6.055,3.204811881188118,3.223,3.193,3.193
7,6.061999999999999,6.062,6.062,6.062,3.192999999999999,3.193,3.193,3.193
8,6.09012871287129,6.094,6.062,6.094,3.2096336633663367,3.212,3.193,3.212
9,5.930950495049505,6.138,5.707,5.996,2.4062277227722775,3.212,1.23,2.479
10,5.191762376237622,5.97,4.93,5.045,0.898742574257426,1.23,0.653,1.007
11,4.953039603960395,5.08,4.93,4.93,0.610118811881188,0.653,0.509,0.625
12,5.079999999999998,5.08,5.08,5.08,0.6495643564356437,0.65,0.646,0.65
13,5.079683168316832,5.08,5.076,5.08,0.6811287128712871,0.729,0.646,0.646
14,5.073485148514851,5.076,5.073,5.073,0.7289999999999999,0.729,0.729,0.729
15,5.072623762376239,5.073,5.072,5.073,0.7289999999999999,0.729,0.729,0.729
16,5.012960396039603,5.072,4.995,4.995,0.7655544554455449,0.775,0.729,0.775
17,4.993435643564355,4.995,4.991,4.992,0.7961980198019806,0.811,0.775,0.811
18,4.9881683168316835,4.991,4.988,4.988,0.8110000000000004,0.811,0.811,0.811
19,4.988,4.988,4.988,4.988,0.8110000000000004,0.811,0.811,0.811
20,4.988,4.988,4.988,4.988,0.8110000000000004,0.811,0.811,0.811
21,4.974603960396038,4.988,4.962,4.973,0.8536732673267324,0.874,0.811,0.874
22,4.962000000000001,4.962,4.962,4.962,0.8746930693069306,0.884,0.874,0.874
23,4.958316831683169,4.962,4.879,4.962,0.8992673267326735,1.003,0.884,0.889
24,4.868876712328768,4.879,4.868,4.868,1.0031780821917808,1.004,1.003,1.003
