Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.0236578436468635,5.538,4.675,5.0,5.235614454207921,5.969,4.416,5.3309999999999995
10,6.689153465346535,7.145,5.0,6.746,5.0118160660066,6.462,3.54,5.0015
11,5.066865106089775,5.374,4.749,5.041,4.339526826941028,5.164,3.798,4.1365
12,6.43450594059406,7.449,5.0,6.513,5.241927307873644,6.83,3.516,5.056
13,5.114690919091909,6.029,5.0,5.0,4.991307347401406,5.019,4.781,5.019
14,5.071378396982555,6.017,4.984,5.0165,4.554264686468647,5.117,3.816,4.359
15,6.171157944365867,7.627,4.885,6.2245,4.932491136256483,6.005,3.605,5.311
16,5.876419471947195,6.757,5.0,6.0445,4.977254455445545,5.002,4.706,4.993
17,4.4396911254125415,5.434,3.75,4.253,4.605079052805281,5.0,3.996,4.821
18,6.592169616961695,7.338,5.0,6.763,5.138958172483916,5.554,4.375,5.1785
19,5.099781073424934,5.903,5.0,5.0,5.0815778026189715,5.986,5.0,5.0
2,5.0974168316831685,5.9,4.928,5.0,5.044917617938265,5.672,4.302,5.0
20,5.28656174373908,5.977,4.951,5.137,5.1349177612114145,6.022,4.105,5.019
21,5.0,5.0,5.0,5.0,5.04288007490749,5.233,5.0,5.0
22,7.979207100424329,9.206,5.0,7.955500000000001,5.636794389438943,6.361,4.771,5.7379999999999995
23,5.06601846243448,5.078,4.99,5.078,3.666391749174919,5.0,3.38,3.49
24,6.076549328030541,7.125,4.997,6.1594999999999995,5.795291392971293,6.089,5.0,5.929
25,6.092111722772276,7.132,4.826,6.128,4.05074969473614,6.182,2.905,3.6945
26,6.1866900990099,6.744,5.0,6.241,5.179479808580857,5.567,4.822,5.1935
27,5.6938440924092415,6.206,5.0,5.649,4.429528844884489,5.097,3.945,4.426
28,4.490208486562941,5.82,2.974,5.0,4.703218312116927,5.198,4.045,4.747
29,5.414139473947395,5.739,5.0,5.471500000000001,5.058423432343234,5.201,4.788,5.1
3,5.870580566906042,6.836,5.0,6.063,4.853046497995327,5.28,4.752,4.787
30,5.052709483207144,6.703,4.823,4.975,5.120565026596778,6.092,3.315,5.401
4,5.232253145214522,7.042,2.717,5.07675,5.212546865268879,6.623,3.673,5.161
5,6.895820490334746,8.841,4.927,7.164,5.408498679867987,5.884,4.715,5.37
6,5.197075301626239,6.512,4.728,5.0,4.891469613084838,5.164,4.633,4.8485
7,5.3836974009900995,6.273,5.0,5.3235,4.966016004916818,5.156,4.797,4.998
8,6.122191975483262,8.174,3.93,6.13,4.415704743045733,5.723,2.936,4.2125
9,5.867807232382062,6.28,5.0,5.9575,4.297938489225392,5.116,3.708,4.247
