Subject,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,5.536756218905474,7.04,4.787,5.599,5.104787728026534,5.932,4.54,5.0
10,6.59326368159204,6.763,6.396,6.586,3.099691542288557,3.401,2.951,3.0700000000000003
11,5.534937810945274,5.944,5.0,5.615,4.368674129353233,5.143,3.461,4.337
12,6.545888888888889,7.101,5.0,6.921,5.219574626865672,5.334,5.0,5.255
13,6.2369502487562185,6.35,5.921,6.291,3.201059701492537,3.509,2.779,3.334
14,5.067,5.067,5.067,5.067,3.0543905472636816,3.1,3.009,3.0495
15,3.905135986733002,5.144,1.8,4.905,4.616985074626865,5.321,3.843,5.0
16,7.153999999999997,7.154,7.154,7.154,3.6367794361525707,3.678,3.588,3.615
17,4.879161004025101,5.0,4.005,4.9405,5.234162813914098,5.937,3.65,5.7170000000000005
18,5.627216417910447,7.589,5.0,5.0,4.823049751243781,5.0,4.07,5.0
19,8.756316588486142,9.5,8.272,8.505,5.0593164605543715,5.271,4.954,5.0
2,6.665104477611942,6.668,6.665,6.665,3.0436094527363178,3.054,3.041,3.0415
20,5.074628524046434,5.573,4.633,5.0,3.789013266998342,5.0,2.659,3.284
21,5.502774461028193,6.13,5.0,5.309,4.8024112769485905,5.176,4.253,4.705
22,6.928228855721394,7.932,5.0,7.419,4.674641791044776,5.104,3.938,5.0
23,2.9185970149253735,3.378,2.621,2.788,2.8950762852404637,3.01,2.66,3.01
24,5.5861741293532345,6.301,5.0,5.6505,4.068002487562189,5.0,2.844,4.0655
25,7.073450248756219,7.539,5.796,7.285500000000001,3.7376550580431185,4.064,3.066,3.802
26,4.264601990049751,5.0,3.517,4.2675,4.282084577114428,5.0,3.549,4.2745
27,7.236115572139303,7.25,7.184,7.237,4.290972636815921,4.304,4.278,4.291
28,5.462298507462687,6.036,5.0,5.475,4.946898009950249,5.0,4.853,4.952999999999999
29,5.472421227197347,5.861,5.0,5.568,5.117616915422886,5.406,4.909,5.116
3,5.922311774461029,6.426,5.0,6.089,3.8862946351575456,5.161,2.462,4.165
30,6.460958540630183,7.719,6.027,6.073,4.608529021558873,5.102,3.921,4.975
4,4.784972636815921,5.145,4.492,4.76,3.260823383084577,3.9,1.679,3.369
5,5.798160033167496,6.237,4.861,5.8255,3.5001285240464335,4.798,0.609,4.0625
6,7.241427860696518,7.882,5.0,7.271,4.142162520729685,5.0,3.258,4.337
7,5.990160862354892,6.571,5.829,5.865,4.926336650082919,5.038,4.917,4.917
8,6.498019900497512,7.736,5.0,6.634,4.001848258706468,5.857,0.5,4.6495
9,6.139024875621891,6.785,5.0,6.4925,4.605803482587065,5.03,3.944,4.449
