Window,Mean Valence,Max Valence,Min Valence,Median Valence,Mean Arousal,Max Arousal,Min Arousal,Median Arousal
1,2.2838855721393037,2.856,2.097,2.136,6.5670796019900495,7.115,5.126,6.927
2,1.183686567164179,3.549,0.5,0.741,7.682711442786069,8.665,6.639,7.78
3,0.9171393034825872,1.461,0.5,0.81,7.9074975124378115,8.665,7.704,7.802
4,0.635412935323383,1.46,0.5,0.5,8.808706467661693,9.5,7.721,8.391
5,0.5,0.5,0.5,0.5,9.45912935323383,9.5,8.354,9.5
6,0.728820895522388,1.642,0.5,0.5,7.278189054726368,9.5,5.048,6.832
7,0.6834676616915424,1.567,0.5,0.5,6.375398009950248,6.651,5.027,6.65
8,0.5,0.5,0.5,0.5,8.681144278606965,9.5,6.656,8.66
9,0.5,0.5,0.5,0.5,9.345955223880598,9.5,8.358,9.5
10,0.8635074626865673,1.525,0.5,0.5,8.248611940298508,9.5,6.216,9.5
11,0.8442139303482588,1.502,0.5,0.5,8.349995024875623,9.5,6.478,8.819
12,0.5,0.5,0.5,0.5,9.33144776119403,9.5,8.819,9.5
13,0.5,0.5,0.5,0.5,8.285124378109453,8.831,8.238,8.238
